!MOLECULE
E-CH3OH
!MOLECULAR WEIGHT
32.0
!NUMBER OF ENERGY LEVELS
100
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J, K
 42   11    5      4.661e-05      302.369900	 27.1
 43   12    9      1.419e-11       44.029400	 35.0
 44   12    8      9.125e-07      120.197520	 35.0
 45   12   17      1.069e-10      128.930010	 35.0
 46   12    7      1.124e-05      145.131880	 35.0
 47   12   11      2.332e-05      165.099310	 35.0
 48   12    6      8.799e-05      310.193000	 35.0
 49   12   10      2.228e-09      322.371620	 35.0
 50   12    5      1.699e-09      467.469063	 35.0
 51   13   12      7.232e-08       24.928700	 36.2
 52   13    9      5.453e-14       68.958116	 36.2
 53   13    8      6.765e-06      145.126190	 36.2
 54   13   17      3.028e-10      153.858726	 36.2
 55   13    7      2.552e-05      170.060630	 36.2
 56   13   11      1.141e-09      190.028015	 36.2
 57   13    6      1.877e-09      335.121775	 36.2
 58   13   10      6.966e-09      347.300336	 36.2
 59   13    5      3.970e-09      492.397779	 36.2
 60   14   18      2.564e-11       72.780961	 39.8
 61   14   13      7.348e-13       76.168276	 39.8
 62   14   12      1.375e-09      101.096992	 39.8
 63   14    9      6.855e-06      145.126392	 39.8
 64   14    8      1.802e-12      221.294466	 39.8
 65   14   17      1.486e-05      230.027060	 39.8
 66   14    7      4.964e-09      246.228864	 39.8
 67   14   11      3.137e-09      266.196291	 39.8
 68   14    6      1.157e-08      411.290051	 39.8
 69   14   10      3.729e-04      423.468663	 39.8
 70   14    5      1.006e-03      568.566054	 39.8
 71   15   21      5.910e-12      260.967683	 61.6
 72   15   20      1.581e-05      337.135873	 61.6
 73   15   19      7.893e-09      362.069337	 61.6
 74   15   14      1.561e-11      454.478916	 61.6
 75   15   18      7.312e-09      527.259877	 61.6
 76   15   13      4.374e-04      530.647277	 61.6
 77   15   12      1.426e-07      555.575908	 61.6
 78   15    9      3.585e-12      599.605308	 61.6
 79   15    8      2.559e-03      675.773439	 61.6
