!MOLECULE
o-SiC2
!MOLECULAR WEIGHT
52.1
!NUMBER OF ENERGY LEVELS
40
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J + K_a + K_c
  1   0.000    1.0  0_0_0
  2   0.787    3.0  1_0_1
  3   2.357    5.0  2_0_2
  4   4.701    7.0  3_0_3
  5   7.788    5.0  2_2_1
  6   7.793    5.0  2_2_0
  7   7.805    9.0  4_0_4
  8  10.148    7.0  3_2_2
  9  10.171    7.0  3_2_1
 10  11.654   11.0  5_0_5
 11  13.292    9.0  4_2_3
 12  13.359    9.0  4_2_2
 13  16.230   13.0  6_0_6
 14  17.216   11.0  5_2_4
 15  17.370   11.0  5_2_3
 16  21.517   15.0  7_0_7
 17  21.917   13.0  6_2_5
 18  22.218   13.0  6_2_4
 19  27.389   15.0  7_2_6
 20  27.502   17.0  8_0_8
 21  27.913   15.0  7_2_5
 22  29.574    9.0  4_4_1
 23  29.574    9.0  4_4_0
 24  33.512   11.0  5_4_2
 25  33.512   11.0  5_4_1
 26  33.629   17.0  8_2_7
 27  34.179   19.0  9_0_9
 28  34.463   17.0  8_2_6
 29  38.240   13.0  6_4_3
 30  38.240   13.0  6_4_2
 31  40.631   19.0  9_2_8
 32  41.543   21.0 10_0_10
 33  41.868   19.0  9_2_7
 34  43.761   15.0  7_4_4
 35  43.761   15.0  7_4_3
 36  48.387   21.0 10_2_9
 37  49.594   23.0 11_0_11
 38  50.076   17.0  8_4_5
 39  50.078   17.0  8_4_4
 40  50.125   21.0 10_2_8
!NUMBER OF RADIATIVE TRANSITIONS
116
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
   82    23     9  9.500e-07     581.68655792    42.550
   83    23    11  3.353e-07     488.12145215    42.550
   84    24    10  1.358e-08     655.28551167    48.216
   85    24    15  8.487e-07     483.92436314    48.216
   86    24    22  1.794e-05     118.05811808    48.216
   87    25    12  2.093e-06     604.17096334    48.216
   88    25    14  8.598e-07     488.54116105    48.216
   89    25    23  1.794e-05     118.05811808    48.216
   90    26    20  2.781e-06     183.68260271    48.384
   91    28    16  9.486e-06     388.11081682    49.584
   92    28    26  5.168e-08      25.00265883    49.584
   93    29    13  4.444e-08     659.84235117    55.018
   94    29    18  1.493e-06     480.32685827    55.018
   95    29    24  4.869e-05     141.74169179    55.018
   96    30    15  3.526e-06     625.66605493    55.018
   97    30    17  1.529e-06     489.35059965    55.018
   98    30    25  4.869e-05     141.74169179    55.018
   99    31    27  3.513e-06     193.42584506    58.459
  100    33    20  1.159e-05     430.68129109    60.238
  101    33    31  1.304e-07      37.08427935    60.238
  102    34    16  1.078e-07     666.85748566    62.962
  103    34    21  2.238e-06     475.11047621    62.962
  104    34    29  9.500e-05     165.51520313    62.962
  105    35    18  5.323e-06     645.84206140    62.962
  106    35    20  1.600e-08     487.43193038    62.962
  107    35    30  9.502e-05     165.51520313    62.962
  108    36    32  4.354e-06     205.17769429    69.618
  109    38    19  7.640e-06     680.13827447    72.048
  110    38    28  3.065e-06     468.06536251    72.048
  111    38    34  1.597e-04     189.31869367    72.048
  112    39    21  7.565e-06     664.48912829    72.051
  113    39    27  2.723e-08     476.63941578    72.051
  114    39    35  1.598e-04     189.37865208    72.051
  115    40    33  4.629e-04     247.53831411    72.118
  116    40    37  2.313e-10      15.91895904    72.118
