   67    26    13  3.424731e-05  279.513916  26.833403
   68    26    17  7.600158e-04  279.511353  26.833403
   69    26    18  2.442993e-04  279.511139  26.833403
   70    27    11  2.061577e-05  279.514587  26.833420
   71    27    12  1.594040e-04  279.514343  26.833420
   72    27    18  1.071013e-03  279.511505  26.833420
   73    28    11  4.876145e-05  279.514709  26.833424
   74    28    13  9.310565e-05  279.514404  26.833424
   75    28    17  4.945067e-04  279.511841  26.833424
   76    28    18  2.867952e-05  279.511658  26.833424
   77    28    19  5.877213e-04  279.511383  26.833424
   78    29    20  2.725243e-03  372.672455  44.721512
   79    29    21  2.234626e-04  372.672089  44.721512
   80    29    23  1.316143e-04  372.670532  44.721512
   81    30    21  2.878427e-03  372.672546  44.721531
   82    30    24  2.049051e-04  372.670532  44.721531
   83    31    20  1.757318e-04  372.672943  44.721531
   84    31    22  2.694944e-03  372.672485  44.721531
   85    31    25  2.089525e-04  372.670502  44.721531
   86    32    23  2.989890e-03  372.672546  44.721607
   87    32    24  1.045814e-04  372.672089  44.721607
   88    33    20  2.620310e-04  372.674835  44.721626
   89    33    26  2.487424e-03  372.672302  44.721626
   90    33    27  2.923138e-04  372.671936  44.721626
   91    34    24  3.095313e-03  372.672577  44.721626
   92    35    23  1.670344e-04  372.673035  44.721630
   93    35    25  2.924863e-03  372.672546  44.721630
   94    36    21  2.163756e-04  372.674896  44.721645
   95    36    27  2.859601e-03  372.672363  44.721645
   96    37    22  1.674483e-04  372.674927  44.721649
   97    37    26  4.957679e-04  372.672821  44.721649
   98    37    28  2.387689e-03  372.672302  44.721649
   99    38    29  5.700880e-03  465.824738  67.081039
  100    38    30  2.842114e-04  465.824310  67.081039
  101    38    32  1.846886e-04  465.822784  67.081039
  102    39    29  2.332881e-04  465.825256  67.081062
  103    39    31  5.672730e-03  465.824768  67.081062
  104    39    35  2.629604e-04  465.822754  67.081062
  105    40    30  5.908691e-03  465.824799  67.081062
  106    40    34  2.625968e-04  465.822784  67.081062
  107    41    32  6.032419e-03  465.824799  67.081139
  108    41    34  1.495516e-04  465.824341  67.081139
  109    42    29  3.283177e-04  465.827057  67.081154
  110    42    33  5.470061e-03  465.824677  67.081154
  111    42    36  3.426824e-04  465.824249  67.081154
  112    43    32  2.192515e-04  465.825317  67.081161
  113    43    35  5.959943e-03  465.824799  67.081161
  114    44    34  6.182208e-03  465.824829  67.081161
  115    45    30  2.719219e-04  465.827118  67.081177
  116    45    36  5.895791e-03  465.824707  67.081177
  117    46    31  2.333129e-04  465.827087  67.081177
  118    46    33  5.223206e-04  465.825195  67.081177
  119    46    37  5.396804e-03  465.824646  67.081177
!NUMBER OF COLL PARTNERS
1
!COLLISION BETWEEN
1 N2H+ - He from Daniel et al. 2005 + extrapolation, scaled to H2 
!NUMBER OF COLL TRANS
1482
!NUMBER OF COLL TEMP
14
!COLL TEMPS
  5.0  10.0  20.0  30.0  40.0  50.0  70.0 120.0 190.0 310.0 500.0 800.0 1300.0 2000.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
